tasks;score;b;c1;c2;c3;t1;t2;t3;t4;t5;t6
1,2,3;47,628;0,943;1,169;0,994;0,970;1,119;0,893;0,911;1,000;1,000;1,000
1,3,2;47,678;0,938;1,108;1,101;0,952;1,101;0,859;0,940;1,000;1,000;1,000
2,1,3;46,693;0,954;1,186;1,015;0,979;1,136;0,860;0,869;1,000;1,000;1,000
2,3,1;45,382;0,955;1,229;1,002;0,973;1,124;0,851;0,866;1,000;1,000;1,000
3,1,2;47,049;0,946;1,121;1,045;0,986;1,124;0,821;0,958;1,000;1,000;1,000
3,2,1;45,426;0,961;1,152;1,105;0,821;1,131;0,889;0,940;1,000;1,000;1,000
1,2,4;51,658;1,000;1,182;1,028;1,036;1,074;1,083;1,000;0,597;1,000;1,000
1,4,2;51,670;0,954;1,165;0,989;0,983;1,123;1,165;1,000;0,622;1,000;1,000
2,1,4;50,948;0,967;1,188;1,003;0,952;1,177;1,147;1,000;0,566;1,000;1,000
2,4,1;49,568;0,961;1,204;1,067;1,017;1,113;1,051;1,000;0,586;1,000;1,000
4,1,2;50,400;0,985;1,184;1,069;1,004;1,065;1,034;1,000;0,658;1,000;1,000
4,2,1;49,121;0,876;1,184;1,064;0,925;1,170;1,143;1,000;0,638;1,000;1,000
1,2,5;48,642;0,892;1,042;0,945;0,906;1,139;1,189;1,000;1,000;0,888;1,000
1,5,2;48,976;0,931;1,234;0,955;0,944;1,153;0,918;1,000;1,000;0,865;1,000
2,1,5;48,465;0,902;1,061;1,080;0,915;1,159;0,991;1,000;1,000;0,893;1,000
2,5,1;47,514;0,974;1,202;0,985;0,950;1,136;0,892;1,000;1,000;0,862;1,000
5,1,2;48,434;0,885;1,143;0,995;0,886;1,156;0,986;1,000;1,000;0,950;1,000
5,2,1;46,648;0,940;1,218;0,953;0,943;1,118;0,916;1,000;1,000;0,912;1,000
1,2,6;49,732;0,804;1,006;1,005;0,954;1,407;1,163;1,000;1,000;1,000;0,661
1,6,2;49,712;0,881;1,114;1,039;0,857;1,261;1,050;1,000;1,000;1,000;0,797
2,1,6;49,517;0,808;1,023;1,005;0,936;1,410;1,180;1,000;1,000;1,000;0,638
2,6,1;48,269;0,895;1,111;0,995;0,889;1,328;1,013;1,000;1,000;1,000;0,769
6,1,2;48,773;0,884;1,112;0,997;0,895;1,362;0,952;1,000;1,000;1,000;0,798
6,2,1;47,494;0,828;1,107;1,032;0,871;1,257;1,057;1,000;1,000;1,000;0,848
